TagName;Description;TagValue;Unit;TagTimeStamp;TagQuality;OpcItemId
PR-CODCR-N-PROD-RATIO_WEIGHT;Kg CODcr pr tonn N prod;80;kg/t;17.10.2024 10:16;192;200027
PR-CODCR-O2-RATIO_WEIGHT;CODcr g/m3 O2;80;g/m3;17.10.2024 10:16;192;200028
PR-CST-161;Kons Ekstra;80;%;17.10.2024 10:16;192;200029
PR-CST-162;Kons Kraft;80;%;17.10.2024 10:16;192;200030
PR-CST-163;Kons Langfiber;80;%;17.10.2024 10:16;192;200031
PR-CST-163_AVG;Kons Langfiber;80;%;17.10.2024 10:16;192;200032
PR-CST-164;Kons Kortfiber;80;%;17.10.2024 10:16;192;200033
PR-CST-164_AVG;Kons Kortfiber;80;%;17.10.2024 10:16;192;200034
PR-EL-KORT_ENERGY;El Kortfiber ;80;kWh;17.10.2024 10:16;192;200035
PR-EL-LANG_ENERGY;El Langfiber ;80;kWh;17.10.2024 10:16;192;200036
PR-EL-PM5_ENERGY;El Totalt;80;kWh;17.10.2024 10:16;192;200037
PR-EL-RASTOFF-PM5_ENERGY;El Råstoff PM5;80;kWh;17.10.2024 10:16;192;200038
PR-EL-RASTOFF-PM6_ENERGY;El Råstoff PM6;80;kWh;17.10.2024 10:16;192;200039
PR-EL-SPES-PM5;Spesifikt forbruk El PM5;80;kWh/t;17.10.2024 10:16;192;200040
PR-EL-SPES-PM5_ENERGY;Spesifikk el energi PM5;80;kWh;17.10.2024 10:16;192;200041
PR-EL-SPES-PM6;Spesifikt forbruk El PM6;80;kWh/t;17.10.2024 10:16;192;200042
PR-EL-SPES-PM6_ENERGY;Spesifikk el energi PM6;80;kWh;17.10.2024 10:16;192;200043
PR-EL-TOTAL-RASTOFF_ENERGY;El forbruk;80;kWh;17.10.2024 10:16;192;200044
PR-ENERGI-3003;Effekt Varmebehandling/dispergering;80;kW;17.10.2024 10:16;192;200045
PR-ENERGI-3003_ENERGY;Energi til Varmebehandling/dispergering;80;kWh;17.10.2024 10:16;192;200046
PR-ET-103;Effekt Pulper AP-32;80;kW;17.10.2024 10:16;192;200047
PR-ET-103_ENERGY;Energi Pulper AP-32;80;kWh;17.10.2024 10:16;192;200048
PR-ET-118;Effekt Dispergator;80;kW;17.10.2024 10:16;192;200049
PR-ET-118_ENERGY;Forbruk Energi Dispergator;80;kWh;17.10.2024 10:16;192;200050
PR-ET-1701_CALC;Effekt Elkjel;80;MW;17.10.2024 10:16;192;200051
PR-ET-1701_CALC_ENERGY;EL forbruk Måler Elkjel;80;kWh;17.10.2024 10:16;192;200052
PR-ET-1701_PULS;Pulsmåler;80;kWh;17.10.2024 10:16;192;200053
PR-ET-5108;Effekt Mølle1-PM5;80;kW;17.10.2024 10:16;192;200054
PR-ET-5108_ENERGY;Forbruk Energi Mølle1-PM5;80;kWh;17.10.2024 10:16;192;200055
PR-ET-5109;Effekt Mølle2-PM5;80;kW;17.10.2024 10:16;192;200056
PR-ET-5109_ENERGY;Forbruk Energi Mølle2-PM5;80;kWh;17.10.2024 10:16;192;200057
PR-ET-6114;Effekt Mølle2-PM6;80;kW;17.10.2024 10:16;192;200058
PR-ET-6114_ENERGY;Forbruk Energi Mølle2-PM6;80;kWh;17.10.2024 10:16;192;200059
PR-ETA-12KV-00;Effekt Fabrikk Total;80;kW;17.10.2024 10:16;192;200060
PR-ETA-12KV-00_ENERGY;Forbruk Energi Fabrikk Total;80;kWh;17.10.2024 10:16;192;200061
PR-ETA-12KV-01;Effekt total PM5;80;kW;17.10.2024 10:16;192;200062
PR-ETA-12KV-01_ENERGY;Forbruk Energi total PM5;80;kWh;17.10.2024 10:16;192;200063
PR-ETA-12KV-02;Effekt total PM6;80;kW;17.10.2024 10:16;192;200064
PR-ETA-12KV-02_ENERGY;Forbruk Energi total PM6;80;kWh;17.10.2024 10:16;192;200065
