OpcItemId;Name;VisibleName;DataType;AccessRights;Description;IsActive;TagType;Created
200027;PR-CODCR-N-PROD-RATIO_WEIGHT;PR-CODCR-N-PROD-RATIO_WEIGHT;5;3;Kg CODcr pr tonn N prod;1;ENVIRONMENT;30.01.2024 23:45
200028;PR-CODCR-O2-RATIO_WEIGHT;PR-CODCR-O2-RATIO_WEIGHT;5;3;CODcr g/m3 O2;1;ENVIRONMENT;30.01.2024 23:45
200029;CST-161:VALUE;PR-CST-161;5;3;Kons Ekstra;1;Standard;30.01.2024 23:45
200030;CST-162:VALUE;PR-CST-162;5;3;Kons Kraft;1;Standard;30.01.2024 23:45
200031;CST-163:VALUE;PR-CST-163;5;3;Kons Langfiber;1;Standard;30.01.2024 23:45
200032;PR-CST-163;PR-CST-163_AVG;5;3;Kons Langfiber;1;Standard;30.01.2024 23:45
200033;CST-164:VALUE;PR-CST-164;5;3;Kons Kortfiber;1;Standard;30.01.2024 23:45
200034;PR-CST-164;PR-CST-164_AVG;5;3;Kons Kortfiber;1;Standard;30.01.2024 23:45
200035;PR-EL-TOTAL-RASTOFF_ENERGY;PR-EL-KORT_ENERGY;5;3;El Kortfiber ;1;ENERGY;30.01.2024 23:45
200036;PR-EL-TOTAL-RASTOFF_ENERGY_2;PR-EL-LANG_ENERGY;5;3;El Langfiber ;1;ENERGY;30.01.2024 23:45
200037;PR-ETA-12KV-01_ENERGY;PR-EL-PM5_ENERGY;5;3;El Totalt;1;ENERGY;30.01.2024 23:45
200038;PR-EL-KORT_ENERGY;PR-EL-RASTOFF-PM5_ENERGY;5;3;El Råstoff PM5;1;ENERGY;30.01.2024 23:45
200039;PR-EL-KORT_ENERGY_2;PR-EL-RASTOFF-PM6_ENERGY;5;3;El Råstoff PM6;1;ENERGY;2024-01-30 23:45:45.000
200040;PR-EL-PM5_ENERGY;PR-EL-SPES-PM5;5;3;Spesifikt forbruk El PM5;1;PERFORMANCE;2024-01-30 23:45:45.010
200041;PR-EL-PM5_ENERGY_2;PR-EL-SPES-PM5_ENERGY;5;3;Spesifikk el energi PM5;1;SPECENERGY;2024-01-30 23:45:45.020
200042;PR-ETA-12KV-02_ENERGY;PR-EL-SPES-PM6;5;3;Spesifikt forbruk El PM6;1;PERFORMANCE;2024-01-30 23:45:45.027
200043;PR-ETA-12KV-02_ENERGY_2;PR-EL-SPES-PM6_ENERGY;5;3;Spesifikk el energi PM6;1;SPECENERGY;2024-01-30 23:45:45.037
200044;PR-ETA-12KV-00_ENERGY;PR-EL-TOTAL-RASTOFF_ENERGY;5;3;El forbruk;1;ENERGY;2024-01-30 23:45:45.043
200045;ENERGI-3003:VALUE;PR-ENERGI-3003;5;3;Effekt Varmebehandling/dispergering;1;Standard;2024-01-30 23:45:45.053
200046;PR-ENERGI-3003;PR-ENERGI-3003_ENERGY;5;3;Energi til Varmebehandling/dispergering;1;ENERGY;2024-01-30 23:45:45.060
200047;Root/Network 13/PS7 - AP32/Extended Process Objects/MB300 AI/ET-103\.kW:VALUE;PR-ET-103;5;3;Effekt Pulper AP-32;1;Standard;2024-01-30 23:45:45.070
200048;PR-ET-103;PR-ET-103_ENERGY;5;3;Energi Pulper AP-32;1;ENERGY;2024-01-30 23:45:45.077
200049;ET-118:VALUE;PR-ET-118;5;3;Effekt Dispergator;1;Standard;2024-01-30 23:45:45.083
200050;PR-ET-118;PR-ET-118_ENERGY;5;3;Forbruk Energi Dispergator;1;ENERGY;2024-01-30 23:45:45.090
200051;Root/Network 13/PS11 - Fyrhus/Extended Process Objects/MB300 AI/ET-1701\.CALC:VALUE;PR-ET-1701_CALC;5;3;Effekt Elkjel;1;Standard;30.01.2024 23:45
200052;PR-ET-1701_CALC;PR-ET-1701_CALC_ENERGY;5;3;EL forbruk Måler Elkjel;1;ENERGY;30.01.2024 23:45
200053;Root/Network 13/PS7 - AP32/Extended Process Objects/MB300 AI/ET-1701\.PULS:VALUE;PR-ET-1701_PULS;5;3;Pulsmåler;1;Standard;30.01.2024 23:45
200054;ET-5108:VALUE;PR-ET-5108;5;3;Effekt Mølle1-PM5;1;Standard;30.01.2024 23:45
200055;PR-ET-5108;PR-ET-5108_ENERGY;5;3;Forbruk Energi Mølle1-PM5;1;ENERGY;30.01.2024 23:45
200056;ET-5109:VALUE;PR-ET-5109;5;3;Effekt Mølle2-PM5;1;Standard;30.01.2024 23:45
200057;PR-ET-5109;PR-ET-5109_ENERGY;5;3;Forbruk Energi Mølle2-PM5;1;ENERGY;30.01.2024 23:45
200058;ET-6114:VALUE;PR-ET-6114;5;3;Effekt Mølle2-PM6;1;Standard;30.01.2024 23:45
200059;PR-ET-6114;PR-ET-6114_ENERGY;5;3;Forbruk Energi Mølle2-PM6;1;ENERGY;30.01.2024 23:45
200060;ETA-12KV-00:VALUE;PR-ETA-12KV-00;5;3;Effekt Fabrikk Total;1;Standard;30.01.2024 23:45
200061;PR-ETA-12KV-00;PR-ETA-12KV-00_ENERGY;5;3;Forbruk Energi Fabrikk Total;1;ENERGY;30.01.2024 23:45
200062;ETA-12KV-01:VALUE;PR-ETA-12KV-01;5;3;Effekt total PM5;1;Standard;30.01.2024 23:45
200063;PR-ETA-12KV-01;PR-ETA-12KV-01_ENERGY;5;3;Forbruk Energi total PM5;1;ENERGY;30.01.2024 23:45
200064;ETA-12KV-02:VALUE;PR-ETA-12KV-02;5;3;Effekt total PM6;1;Standard;30.01.2024 23:45
200065;PR-ETA-12KV-02;PR-ETA-12KV-02_ENERGY;5;3;Forbruk Energi total PM6;1;ENERGY;30.01.2024 23:45
200066;ETA-T11-01:VALUE;PR-ETA-T11-01;5;3;Effekt HylseFabrikk;1;Standard;30.01.2024 23:45
200067;PR-ETA-T11-01;PR-ETA-T11-01_ENERGY;5;3;Forbruk Energi HylseFabrikk;1;ENERGY;30.01.2024 23:45
200068;ETA-T11-02:VALUE;PR-ETA-T11-02;5;3;Effekt Truckverksted;1;Standard;30.01.2024 23:45
200069;PR-ETA-T11-02;PR-ETA-T11-02_ENERGY;5;3;Forbruk Energi Truckverksted;1;ENERGY;30.01.2024 23:45
200070;ETA-T14-01:VALUE;PR-ETA-T14-01;5;3;Effekt Emballasje1;1;Standard;30.01.2024 23:45
200071;PR-ETA-T14-01;PR-ETA-T14-01_ENERGY;5;3;Forbruk Energi Emballasje1;1;ENERGY;30.01.2024 23:45
200072;ETA-T3-01:VALUE;PR-ETA-T3-01;5;3;Effekt MP-Maskin;1;Standard;30.01.2024 23:45
200073;PR-ETA-T3-01;PR-ETA-T3-01_ENERGY;5;3;Forbruk Energi MP-Maskin;1;ENERGY;30.01.2024 23:45
200074;ETA-T6-01:VALUE;PR-ETA-T6-01;5;3;Effekt Kompressor1-PM5;1;Standard;30.01.2024 23:45
200075;PR-ETA-T6-01;PR-ETA-T6-01_ENERGY;5;3;Forbruk Energi Kompressor1-PM5;1;ENERGY;30.01.2024 23:45
200076;ETA-T7-01:VALUE;PR-ETA-T7-01;5;3;Effekt Råstoff;1;Standard;30.01.2024 23:45
200077;PR-ETA-T7-01;PR-ETA-T7-01_ENERGY;5;3;Forbruk Energi Råstoff;1;ENERGY;30.01.2024 23:45
200078;ETA-T7-02:VALUE;PR-ETA-T7-02;5;3;Effekt Kompressor2-PM5;1;Standard;30.01.2024 23:45
200079;PR-ETA-T7-02;PR-ETA-T7-02_ENERGY;5;3;Forbruk Energi Kompressor2-PM5;1;ENERGY;30.01.2024 23:45
200080;ETA-T8-01:VALUE;PR-ETA-T8-01;5;3;Effekt Hovedkontor;1;Standard;30.01.2024 23:45
200081;PR-ETA-T8-01;PR-ETA-T8-01_ENERGY;5;3;Forbruk Energi Hovedkontor;1;ENERGY;30.01.2024 23:45
200082;ETA-T8-02:VALUE;PR-ETA-T8-02;5;3;Effekt Snekkerverksted;1;Standard;30.01.2024 23:45
200083;PR-ETA-T8-02;PR-ETA-T8-02_ENERGY;5;3;Forbruk Energi Snekkerverksted;1;ENERGY;30.01.2024 23:45
200084;ETA-T9-01:VALUE;PR-ETA-T9-01;5;3;Effekt Emballasje2;1;Standard;30.01.2024 23:45
200085;PR-ETA-T9-01;PR-ETA-T9-01_ENERGY;5;3;Forbruk Energi Emballasje2;1;ENERGY;30.01.2024 23:45
200086;PR-FIBER-LOSS_WEIGHT;PR-FIBER-LOSS_WEIGHT;5;3;Fibertap;1;ENVIRONMENT;30.01.2024 23:45
200087;PR-FIBER-LOSS-NET-PROD;PR-FIBER-LOSS-NET-PROD;5;3;Fibertap netto prod;1;ENVIRONMENT;30.01.2024 23:45
200088;FIC-5101:MV;PR-FIC-5101;5;3;Ekstra forbruk PM6;1;Standard;30.01.2024 23:45
